sample_name	fastq_name	factor	assay	type	reference
07068-P-MS-Rituximab-Stable	P34608_1001	H3K27ac	ChIP-V3	narrow	human
14245-P-MS-Rituximab-Stable	P34608_1002	H3K27ac	ChIP-V3	narrow	human
15024-P-MS-Rituximab-Stable	P34608_1003	H3K27ac	ChIP-V3	narrow	human
14020-P-MS-Rituximab-Stable	P34608_1004	H3K27ac	ChIP-V3	narrow	human
15041-P-MS-Rituximab-Stable	P34608_1005	H3K27ac	ChIP-V3	narrow	human
24116-P-MS-New-RR	P34608_1006	H3K27ac	ChIP-V3	narrow	human
24117-P-MS-New-RR	P34608_1007	H3K27ac	ChIP-V3	narrow	human
24118-P-MS-New-RR	P34608_1008	H3K27ac	ChIP-V3	narrow	human
14229-P-MS-Rituximab-Stable-pA	P34608_1009	H3K27ac	ChIP-V3	narrow	human
14131-P-MS-Rituximab-Stable-pA	P34608_1010	H3K27ac	ChIP-V3	narrow	human
18075-P-MS-Rituximab-Prog-pA	P34608_1011	H3K27ac	ChIP-V3	narrow	human
12179-P-MS-Rituximab-Prog-pA	P34608_1012	H3K27ac	ChIP-V3	narrow	human
18070-P-MS-Rituximab-Prog-pA	P34608_1013	H3K27ac	ChIP-V3	narrow	human
16186-P-MS-Rituximab-Stable	P34608_1014	H3K27ac	ChIP-V3	narrow	human
24126-P-MS-New-RR	P34608_1015	H3K27ac	ChIP-V3	narrow	human
24132-P-MS-New-RR	P34608_1016	H3K27ac	ChIP-V3	narrow	human
24134-P-MS-New-RR	P34608_2002	H3K27ac	ChIP-V3	narrow	human
24136-P-MS-New-RR	P34608_2003	H3K27ac	ChIP-V3 	narrow	human
20015-P-Ctrl	P34608_1019	H3K27ac	ChIP-V3	narrow	human
20027-P-Ctrl	P34608_1020	H3K27ac	ChIP-V3	narrow	human
20030-P-Ctrl	P34608_1021	H3K27ac	ChIP-V3	narrow	human
20040-P-Ctrl	P34608_1022	H3K27ac	ChIP-V3	narrow	human
H5-P-Ctrl	P34608_1023	H3K27ac	ChIP-V3	narrow	human
H6-P-Ctrl	P34608_1024	H3K27ac	ChIP-V3	narrow	human
H7-P-Ctrl	P34608_1025	H3K27ac	ChIP-V3	narrow	human
H9-P-Ctrl	P34608_1026	H3K27ac	ChIP-V3	narrow	human
H10-P-Ctrl	P34608_1027	H3K27ac	ChIP-V3	narrow	human
H11-P-Ctrl	P34608_1028	H3K27ac	ChIP-V3	narrow	human
H12-P-Ctrl	P34608_1029	H3K27ac	ChIP-V3	narrow	human
H13-P-Ctrl	P34608_1030	H3K27ac	ChIP-V3	narrow	human
H14-P-Ctrl	P34608_2004	H3K27ac	ChIP-V3	narrow	human
H15-P-Ctrl	P34608_1032	H3K27ac	ChIP-V3	narrow	human
H16-P-Ctrl	P34608_1033	H3K27ac	ChIP-V3	narrow	human
H17-P-Ctrl	P34608_1035	H3K27ac	ChIP-V3	narrow	human
H18-P-Ctrl	P34608_1036	H3K27ac	ChIP-V3	narrow	human
H19-P-Ctrl	P34608_1037	H3K27ac	ChIP-V3	narrow	human
H20-P-Ctrl	P34608_1038	H3K27ac	ChIP-V3	narrow	human
H21-P-Ctrl	P34608_1039	H3K27ac	ChIP-V3	narrow	human
H22-P-Ctrl	P34608_1040	H3K27ac	ChIP-V3	narrow	human
H23-P-Ctrl	P34608_1041	H3K27ac	ChIP-V3	narrow	human
H24-P-Ctrl	P34608_2001	H3K27ac	ChIP-V3	narrow	human
H17-P-Ctrl	H17_K4	H3K4me3	ChIP-V3	narrow	human
18070-P-MS-Rituximab-Progressive	P32456_2005	H3K27ac	ChIP-V2	narrow	human
12179-P-MS-Rituximab-Progressive	P32456_1010	H3K27ac	ChIP-V2	narrow	human
14229-P-MS-Rituximab-Stable P32456_1011	H3K27ac	ChIP-V2	narrow	human
14131-P-MS-Rituximab-Stable	P32456_1012	H3K27ac	ChIP-V2	narrow	human
18075-P-MS-Rituximab-Progressive	P32456_1009	H3K27ac	ChIP-V2	narrow	human
H5-P-Ctrl	P32456_2006	H3K27ac	ChIP-V2	narrow	human
H6-P-Ctrl	P32456_2008	H3K27ac	ChIP-V2	narrow	human
H6-P-Ctrl	P32456_2003	H3K27ac	ChIP-V2-1D	narrow	human
H7-P-Ctrl	P32456_2001	H3K27ac	ChIP-V2	narrow	human
H8-P-Ctrl	P32456_2002	H3K27ac	ChIP-V2	narrow	human
H8-P-Ctrl	P32456_2007	H3K27ac	ChIP-V2-1D	narrow	human
20053-C-MS-Rituximab-Stable	P32456_1013	H3K27ac	ChIP-V2	narrow	human
20056-C-MS-Rituximab-Stable	P32456_1014	H3K27ac	ChIP-V2	narrow	human
20030-C-Ctrl	P32456_1015	H3K27ac	ChIP-V2	narrow	human
20031-C-MS-Rituximab-Stable	P32456_1016	H3K27ac	ChIP-V2	narrow	human
20027-C-Ctrl	P32456_1017	H3K27ac	ChIP-V2	narrow	human
20040-C-Ctrl	P32456_1018	H3K27ac	ChIP-V2	narrow	human
20014-C-MS-Rituximab-Stable	P32456_1019	H3K27ac	ChIP-V2	narrow	human
20034-C-MS-Rituximab-Stable	P32456_1020	H3K27ac	ChIP-V2	narrow	human
20042-C-MS-Rituximab-Stable	P32456_1021	H3K27ac	ChIP-V2	narrow	human
20033-C-MS-Rituximab-Stable	P32456_1022	H3K27ac	ChIP-V2	narrow	human
20015-C-Ctrl	P32456_1023	H3K27ac	ChIP-V2	narrow	human
19020-C-Ctrl	P32456_1024	H3K27ac	ChIP-V2	narrow	human
H1-P-Ctrl	P31260_1001	H3K27ac	ChIP-V2	narrow	human
H2-P-Ctrl	P31260_1004	H3K27ac	ChIP-V2	narrow	human
H3-P-Ctrl	P32456_2003	H3K27ac	ChIP-V2-1D	narrow	human
H4-P-Ctrl	P32456_2001	H3K27ac	ChIP-V2	narrow	human
H4-P-Ctrl	P32456_2001	H3K27ac	ChIP-V2	narrow	human
16170-P-MS-Rituximab-Stable	P29307_1001	H3K27ac	ChIP-V1-250	narrow	human
16170-C-MS-Rituximab-Stable	P29307_1002	H3K27ac	ChIP-V1-400	narrow	human
16057-P-MS-Rituximab-Progressive	P29307_1003	H3K27ac	ChIP-V1-200	narrow	human
16057-P-MS-Rituximab-Progressive	P29307_1004	H3K27ac	ChIP-V1-100	narrow	human
04061-P-MS-Rituximab-Stable	P29307_1005	H3K27ac	ChIP-V1-150	narrow	human
04061-P-MS-Rituximab-Stable	P29307_1006	H3K27ac	ChIP-V1-100	narrow	human
12097-P-MS-Rituximab-Stable	P29307_1007	H3K27ac	ChIP-V1-100	narrow	human
12097-C-MS-Rituximab-Stable	P29307_1010	H3K27ac	ChIP-V1-100	narrow	human
14223-P-MS-Rituximab-Stable	P29307_1013	H3K27ac	ChIP-V1-100	narrow	human
14223-C-MS-Rituximab-Stable	P29307_1016	H3K27ac	ChIP-V1-100	narrow	human
19019-P-Ctrl	P29307_1019	H3K27ac	ChIP-V1-100	narrow	human
19019-C-Ctrl	P29307_1022	H3K27ac	ChIP-V1-100	narrow	human
MS-P-Mix	MS_MIX	H3K27ac	ChIP-Tak	narrow	human
H30-P-Ctrl	H30	H3K27ac	ChIP-Tak	narrow	human
H32-P-Ctrl	H32	H3K27ac	ChIP-Tak	narrow	human
H41-P-Ctrl	H41	H3K27ac	ChIP-Tak	narrow	human
H42-P-Ctrl	H42	H3K27ac	ChIP-Tak	narrow	human
H43-P-Ctrl	H43	H3K27ac	ChIP-Tak	narrow	human
H44-P-Ctrl	H44	H3K27ac	ChIP-Tak	narrow	human
H46-P-Ctrl	H46	H3K27ac	ChIP-Tak	narrow	human
H47-P-Ctrl	H47	H3K27ac	ChIP-Tak	narrow	human
H48-P-Ctrl	H48	H3K27ac	ChIP-Tak	narrow	human
H49-P-Ctrl	H49	H3K27ac	ChIP-Tak	narrow	human
H50-P-Ctrl	H50	H3K27ac	ChIP-Tak	narrow	human
H51-P-Ctrl	H51	H3K27ac	ChIP-Tak	narrow	human
H53-P-Ctrl	H53	H3K27ac	ChIP-Tak	narrow	human
H54-P-Ctrl	H54	H3K27ac	ChIP-Tak	narrow	human
H55-P-Ctrl	H55	H3K27ac	ChIP-Tak	narrow	human
MS-P-Mix	MS_MIX	H3K27ac	ChIP-Tak	narrow	human
07-083-P-MS-Rituximab-Stable	07-083	H3K27ac	ChIP-Tak	narrow	human
11-134-P-MS-Rituximab-Stable	11-134	H3K27ac	ChIP-Tak	narrow	human
15-032-MS-Rituximab-Stable	15-032	H3K27ac	ChIP-Tak	narrow	human
17-019-MS-Rituximab-Stable	17-019	H3K27ac	ChIP-Tak	narrow	human
25-012-MS-New-RR	20-012	H3K27ac	ChIP-Tak	narrow	human
25-067-MS-New-RR	20-067	H3K27ac	ChIP-Tak	narrow	human
20-127-MS-Rituximab-Stable	20-123	H3K27ac	ChIP-Tak	narrow	human
24-103-MS-New-PPMS	24-103	H3K27ac	ChIP-Tak	narrow	human
25-019-MS-New-RR	25-019	H3K27ac	ChIP-Tak	narrow	human
25-044-MS-New-RR	25-044	H3K27ac	ChIP-Tak	narrow	human
26-066-MS-Rituximab-Stable	26-066	H3K27ac	ChIP-Tak	narrow	human
